Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
34,55,0.011,55,0,5,1,1.117,1.272,0,0.004,0,0,0,0,0.069,0.018,0.014,0.014,0,0.074,0.018,0.022,0.018
8798,4663,0,980,0,63,17,18.436,7.928,0,0.193,0,0.002,0.008,0,0.117,0.045,0.041,0.018,0,0.052,0,0,0.001
12020,5271,0,263,0,50,12,12.099,4.742,0,0.368,0,0.001,0.009,0,0.133,0.085,0.082,0.022,0,0.091,0,0,0.002
6175,2486,0,135,0,41,9,9.296,3.395,0,0.464,0.001,0.003,0.012,0,0.174,0.112,0.106,0.029,0,0.058,0.001,0.001,0.002
8408,4006,0,350,0,49,11,11.627,4.877,0,0.521,0,0.002,0.01,0,0.164,0.09,0.083,0.029,0,0.066,0,0.001,0.001
6948,2846,0,136,0,221,9,21.029,38.007,0,0.42,0.001,0.006,0.019,0,0.173,0.108,0.096,0.04,0,0.072,0.001,0.001,0.002
9955,4401,0,256,0,225,11,19.268,31.627,0,0.423,0,0.003,0.013,0,0.168,0.091,0.082,0.033,0,0.055,0,0.001,0.002
16,14,0.087,11,0,6,2,2.123,1.595,0,0.185,0.025,0.043,0.053,0,0.289,0.142,0.135,0.079,0.076,0.307,0.153,0.175,0.079
16,39,0.01,39,0,5,1,1.126,1.408,0,0.008,0,0,0.002,0,0.043,0,0.013,0.017,0,0.105,0,0.021,0.028
13078,6103,0,432,0,48,12,12.731,4.831,0,0.416,0,0.001,0.008,0,0.142,0.08,0.076,0.021,0,0.079,0,0,0.001
5257,2187,0.001,82,0,223,10,24.427,42.224,0,0.473,0.001,0.01,0.027,0,0.192,0.103,0.093,0.043,0,0.094,0.001,0.002,0.003
6350,3003,0,328,0,41,11,11.688,4.514,0,0.531,0,0.003,0.012,0,0.18,0.084,0.08,0.028,0,0.08,0,0.001,0.002
27,44,0.014,44,0,5,1,1.102,1.313,0,0.006,0,0,0.001,0,0.046,0.023,0.016,0.016,0,0.093,0.023,0.028,0.025
7532,3531,0,277,0,44,11,11.645,4.524,0,0.49,0,0.002,0.011,0,0.165,0.089,0.083,0.027,0,0.068,0,0.001,0.002
13056,5755,0,309,0,47,11,12.04,4.735,0,0.391,0,0.001,0.007,0,0.145,0.087,0.083,0.025,0,0.035,0,0,0.001
7143,3355,0,272,0,46,11,11.603,4.502,0,0.482,0,0.002,0.011,0,0.168,0.09,0.083,0.026,0,0.072,0,0.001,0.002
6293,2527,0,136,0,33,9,9.248,3.239,0,0.474,0.001,0.003,0.012,0,0.174,0.112,0.106,0.028,0,0.057,0.001,0.001,0.002
7432,2962,0,86,0,223,10,21.419,37.589,0,0.376,0,0.006,0.019,0,0.178,0.107,0.095,0.041,0,0.069,0.001,0.001,0.003
7532,3531,0,277,0,44,11,11.645,4.524,0,0.49,0,0.002,0.011,0,0.165,0.089,0.083,0.027,0,0.068,0,0.001,0.002
6895,3287,0,280,0,49,11,11.663,4.616,0,0.493,0,0.002,0.011,0,0.167,0.088,0.083,0.027,0,0.073,0,0.001,0.002
8890,4304,0,843,0,61,15,16.359,8.306,0,0.218,0,0.002,0.008,0,0.131,0.052,0.049,0.022,0,0.056,0,0,0.001
8418,4126,0,775,0,67,15,16.522,8.408,0,0.152,0,0.002,0.008,0,0.129,0.053,0.049,0.021,0,0.058,0,0,0.001
14261,7392,0,1668,0,85,15,16.832,7.726,0,0.175,0,0.001,0.005,0,0.116,0.05,0.044,0.021,0,0.032,0,0,0
58,80,0.009,80,0,39,10,11.906,9.726,0,0.061,0.001,0.02,0.024,0,0.024,0.02,0.014,0.01,0,0.05,0.025,0.018,0.011
6436,3212,0,295,0,38,12,12.483,4.496,0,0.474,0.001,0.003,0.011,0,0.164,0.079,0.075,0.023,0,0.075,0,0.001,0.001
7532,3531,0,277,0,44,11,11.645,4.524,0,0.49,0,0.002,0.011,0,0.165,0.089,0.083,0.027,0,0.068,0,0.001,0.002
14261,7392,0,1668,0,85,15,16.832,7.726,0,0.175,0,0.001,0.005,0,0.116,0.05,0.044,0.021,0,0.032,0,0,0
58,80,0.009,80,0,39,10,11.906,9.726,0,0.061,0.001,0.02,0.024,0,0.024,0.02,0.014,0.01,0,0.05,0.025,0.018,0.011
4653,1887,0.001,85,0,43,9,9.491,3.552,0,0.341,0.001,0.004,0.012,0,0.178,0.108,0.104,0.029,0,0.077,0.002,0.002,0.004
9575,4775,0,363,0,241,14,28.195,43.373,0,0.438,0,0.005,0.017,0,0.155,0.068,0.062,0.028,0,0.05,0,0,0.001
14,12,0.106,9,0,6,2,2.22,1.598,0,0.263,0.068,0.071,0.077,0,0.342,0.192,0.169,0.098,0,0.363,0.227,0.212,0.107
7917,3156,0,96,0,223,10,20.687,36.601,0,0.373,0,0.005,0.018,0,0.175,0.107,0.095,0.04,0,0.069,0.001,0.001,0.003
8615,3906,0,238,0,48,11,12.122,4.773,0,0.337,0,0.002,0.009,0,0.134,0.087,0.081,0.023,0,0.058,0,0.001,0.001
10378,5415,0,1150,0,63,16,17.827,7.654,0,0.167,0,0.002,0.007,0,0.115,0.046,0.043,0.018,0,0.044,0,0,0
1188,623,0.003,88,0,29,11,11.227,4.04,0,0.233,0.005,0.012,0.022,0,0.137,0.078,0.07,0.028,0,0.057,0.006,0.006,0.004
7719,3686,0,338,0,229,11,20.711,34.191,0,0.425,0,0.004,0.014,0,0.162,0.084,0.077,0.034,0,0.065,0,0.001,0.002
210,218,0.004,143,0,24,11,10.327,5.468,0,0.089,0,0.006,0.017,0,0.175,0.004,0.015,0.02,0,0.087,0.009,0.008,0.009
13075,5797,0,770,0,51,12,12.492,4.72,0,0.313,0,0.001,0.007,0,0.139,0.077,0.07,0.026,0,0.024,0,0,0.001
10322,4961,0,856,0,67,14,16.004,8.262,0,0.246,0,0.002,0.007,0,0.133,0.056,0.052,0.022,0,0.056,0,0,0.001
9789,4370,0,264,0,47,12,12.458,4.995,0,0.335,0,0.002,0.009,0,0.133,0.086,0.079,0.023,0,0.063,0,0.001,0.001
14337,7571,0,1702,0,271,16,27.228,38.228,0,0.165,0,0.002,0.008,0,0.12,0.047,0.04,0.023,0,0.032,0,0,0
10010,4420,0,256,0,225,11,19.209,31.569,0,0.424,0,0.003,0.013,0,0.168,0.091,0.082,0.033,0,0.054,0,0.001,0.002
