Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
1521,1019,0.001,469,0,44,17,17.338,7.065,0,0.217,0.001,0.007,0.016,0,0.059,0.03,0.027,0.016,0,0.018,0.002,0.002,0.001
842,450,0.004,314,0,28,7,7.695,4.509,0,0.154,0.001,0.003,0.011,0,0.19,0.035,0.035,0.022,0,0.113,0.006,0.008,0.008
9497,3181,0,750,0,44,17,16.539,5.799,0,0.121,0,0.002,0.009,0,0.101,0.043,0.038,0.021,0,0.061,0,0.001,0.004
279,178,0.008,48,0,23,8,8.261,3.537,0,0.197,0.011,0.023,0.032,0,0.13,0.082,0.07,0.037,0,0.056,0.016,0.017,0.007
1915,970,0.002,84,0,25,10,9.997,3.145,0,0.379,0.003,0.007,0.021,0,0.167,0.091,0.085,0.033,0,0.058,0.003,0.004,0.003
893,527,0.003,103,0,47,14,15.474,8.039,0,0.224,0.006,0.02,0.037,0,0.1,0.057,0.051,0.023,0,0.057,0.005,0.006,0.004
981,555,0.003,73,0,49,15,17.435,10.363,0,0.344,0.004,0.022,0.056,0,0.092,0.053,0.048,0.022,0,0.083,0.005,0.006,0.005
18490,8528,0,768,0,34,10,10.152,3.051,0,0.276,0,0,0.006,0,0.179,0.095,0.09,0.029,0,0.038,0,0,0.001
164,122,0.011,108,0,23,5,6.109,4.657,0,0.04,0.001,0.006,0.01,0,0.092,0.021,0.026,0.021,0,0.066,0.024,0.022,0.009
510,315,0.005,144,0,23,9,8.872,4.191,0,0.108,0.001,0.006,0.013,0,0.101,0.036,0.029,0.021,0,0.044,0.009,0.01,0.004
3946,1995,0,147,0,36,12,12.05,3.991,0,0.415,0.001,0.005,0.016,0,0.147,0.079,0.078,0.022,0,0.05,0.001,0.001,0.002
2466,1209,0.001,162,0,29,10,10.339,3.351,0,0.391,0.002,0.006,0.019,0,0.174,0.086,0.081,0.029,0,0.056,0.003,0.003,0.003
553,300,0.006,83,0,19,8,8.181,3.198,0,0.265,0.003,0.014,0.03,0,0.135,0.085,0.073,0.033,0,0.123,0.011,0.012,0.011
284,177,0.009,83,0,22,8,8.584,4.177,0,0.241,0.004,0.017,0.032,0,0.138,0.055,0.05,0.027,0,0.056,0.017,0.018,0.008
521,308,0.005,101,0,31,10,10.401,4.889,0,0.328,0.005,0.019,0.039,0,0.128,0.075,0.063,0.034,0,0.084,0.009,0.011,0.008
498,285,0.006,77,0,36,13,13.638,6.585,0,0.287,0.006,0.028,0.054,0,0.123,0.055,0.049,0.028,0,0.052,0.01,0.012,0.006
2600,1164,0.001,203,0,30,11,11.283,4.093,0,0.344,0.002,0.006,0.018,0,0.157,0.075,0.072,0.031,0,0.033,0.002,0.003,0.003
417,263,0.006,81,0,30,11,11.479,5.851,0,0.172,0.007,0.021,0.034,0,0.14,0.051,0.053,0.035,0,0.053,0.011,0.012,0.006
659,379,0.004,89,0,28,10,10.228,4.096,0,0.274,0.006,0.015,0.026,0,0.169,0.076,0.067,0.037,0,0.068,0.007,0.009,0.005
662,375,0.004,107,0,28,11,10.778,4.436,0,0.208,0.006,0.015,0.024,0,0.131,0.069,0.058,0.036,0.002,0.04,0.008,0.009,0.005
3883,1974,0,89,0,44,12,12.404,4.593,0,0.379,0.001,0.005,0.017,0,0.162,0.081,0.08,0.024,0,0.047,0.001,0.001,0.002
19367,9117,0,634,0,39,12,12.318,3.853,0,0.269,0,0.001,0.006,0,0.152,0.08,0.077,0.023,0,0.037,0,0,0
980,576,0.002,207,0,38,13,13.677,6.159,0,0.215,0.003,0.012,0.024,0,0.113,0.054,0.045,0.03,0,0.05,0.005,0.005,0.004
891,497,0.003,159,0,23,9,8.997,3.564,0,0.201,0.003,0.009,0.019,0,0.138,0.074,0.064,0.034,0,0.048,0.006,0.007,0.005
1660,833,0.002,146,0,38,10,10.172,4.136,0,0.285,0.002,0.007,0.02,0,0.136,0.08,0.073,0.03,0,0.044,0.004,0.004,0.003
1197,619,0.003,71,0,22,9,9.37,3.048,0,0.211,0.006,0.011,0.02,0,0.151,0.096,0.089,0.03,0,0.043,0.004,0.006,0.004
2934,1327,0.001,150,0,40,10,10.315,3.811,0,0.239,0.001,0.005,0.019,0,0.162,0.091,0.084,0.029,0,0.12,0.002,0.003,0.005
2022,1042,0.001,103,0,23,9,9.026,3.065,0,0.686,0.002,0.006,0.03,0,0.223,0.102,0.098,0.038,0,0.1,0.002,0.003,0.004
29941,13821,0,2696,0,45,12,12.568,3.425,0,0.168,0,0,0.003,0,0.162,0.069,0.063,0.025,0,0.026,0,0,0
1145,547,0.003,74,0,22,8,7.734,2.819,0,0.347,0.005,0.009,0.025,0,0.222,0.117,0.107,0.042,0,0.087,0.007,0.007,0.007
91,73,0.017,70,0,7,2,2.02,1.501,0,0.01,0,0.001,0.002,0,0.122,0.024,0.027,0.023,0,0.083,0.027,0.034,0.016
1056,602,0.002,211,0,23,9,9.434,3.464,0,0.287,0.003,0.008,0.022,0,0.16,0.075,0.065,0.038,0,0.068,0.004,0.005,0.005
42255,18153,0,1450,0,43,11,10.875,3.309,0,0.268,0,0,0.004,0,0.169,0.09,0.085,0.025,0,0.034,0,0,0
8056,3738,0,346,0,38,12,12.134,4.152,0,0.146,0,0.002,0.009,0,0.13,0.08,0.075,0.022,0,0.042,0,0.001,0.001
230,164,0.008,91,0,24,9,9.515,4.701,0,0.088,0.003,0.018,0.027,0,0.101,0.051,0.039,0.027,0,0.036,0.018,0.017,0.006
446,267,0.006,74,0,31,11,11.095,5.148,0,0.263,0.008,0.023,0.04,0,0.134,0.064,0.059,0.034,0,0.052,0.011,0.012,0.006
1064,625,0.002,109,0,48,13,14.264,6.893,0,0.183,0.005,0.015,0.026,0,0.133,0.061,0.055,0.028,0,0.043,0.004,0.005,0.003
5778,2899,0,376,0,36,12,11.978,3.788,0,0.182,0.001,0.003,0.01,0,0.132,0.079,0.074,0.025,0,0.023,0.001,0.001,0.001
3006,1475,0.001,268,0,38,10,10.132,3.784,0,0.181,0.001,0.004,0.013,0,0.143,0.08,0.07,0.032,0,0.042,0.002,0.002,0.002
58,51,0.022,47,0,10,3,2.901,2.186,0,0.029,0.002,0.005,0.007,0,0.101,0.034,0.037,0.023,0,0.08,0.04,0.045,0.02
